OBJECTID,PROVINCIA,DISTRITO,CORREGIMIENTO,CANTIDAD,HOSPITALIZADO,AISLAMIENTO_DOMICILIARIO,FALLECIDO,UCI,RECUPERADO,LONG,LAT,GlobalID,ratio_hospitalizados_fallecidos,ratio_recuperados_aislados,ratio_hospitalizados_recuperados,DISTANCIA_CANTIDAD
80,CHIRIQUÍ,DAVID,PEDREGAL,4,0,4,0,0,0,348227.2037,915033.402799999,213462cb-627e-490b-9abc-bcfab888acce,0.0,0.0,0.0,3916219.22499028
81,CHIRIQUÍ,DAVID,SAN CARLOS,1,0,1,0,0,0,335887.9263,942438.0429,54414709-abba-483e-9546-b1abbcf1c153,0.0,0.0,0.0,1000504.9543801852
82,CHIRIQUÍ,DAVID,SAN PABLO NUEVO,37,1,16,1,0,19,335963.3179,927673.4618,2d6f2ed2-ed5d-4023-ba10-cbdae2f842d5,0.999999000001,1.1874999257812546,0.0526315761772854,36505509.615666896
83,CHIRIQUÍ,DAVID,SAN PABLO VIEJO,9,0,6,0,0,3,336381.7778,935542.0396,98f73b8c-d5aa-45fb-977f-cdb704306a6a,0.0,0.4999999166666805,0.0,8947609.751876762
84,CHIRIQUÍ,DOLEGA,DOLEGA (CABECERA),37,1,16,1,0,19,342957.9566,948035.433900001,616d3d40-c797-4f97-ae3e-34891752ff96,0.999999000001,1.1874999257812546,0.0526315761772854,37302007.31641145
85,CHIRIQUÍ,DOLEGA,DOS RIOS,37,1,16,1,0,19,347038.7485,943710.4428,48619f15-c445-4e66-8bed-073144725086,0.999999000001,1.1874999257812546,0.0526315761772854,37203408.79351231
86,CHIRIQUÍ,DOLEGA,LOS ALGARROBOS,2,0,2,0,0,0,341930.8236,943512.5594,f82bfa6d-b700-44b5-a693-c58cddfe124b,0.0,0.0,0.0,2007119.9644000484
87,CHIRIQUÍ,DOLEGA,LOS ANASTACIOS,37,1,16,1,0,19,344250.262,943456.970100001,77a44547-057e-4ed5-a7a2-fa040d2c6e65,0.999999000001,1.1874999257812546,0.0526315761772854,37159114.87142074
88,CHIRIQUÍ,DOLEGA,POTRERILLOS,37,1,16,1,0,19,335678.2283,963524.7083,c1668aab-77ba-4b1f-b1e5-cc970c8c9fc1,0.999999000001,1.1874999257812546,0.0526315761772854,37751963.91199645
89,CHIRIQUÍ,DOLEGA,POTRERILLOS  ABAJO,37,1,16,1,0,19,338602.5207,955037.604900001,ac400aba-49fc-485f-8824-1654c07ce28c,0.999999000001,1.1874999257812546,0.0526315761772854,37491581.56184947
90,CHIRIQUÍ,DOLEGA,ROVIRA,37,1,16,1,0,19,333017.7218,960190.282400001,12117253-9e9f-486f-a203-de97404031b3,0.999999000001,1.1874999257812546,0.0526315761772854,37603108.9459723
91,CHIRIQUÍ,DOLEGA,TINAJAS,37,1,16,1,0,19,338027.2907,947561.330700001,f268fb3d-34fc-477b-be7a-67a8b2381c11,0.999999000001,1.1874999257812546,0.0526315761772854,37223819.14727102
92,CHIRIQUÍ,GUALACA,GUALACA (CABECERA),4,0,0,2,0,2,362145.7721,948720.2552,7e61c009-f0b1-40af-b71e-2ba20a23254a,0.0,2000000.0,0.0,4061959.493400511
93,CHIRIQUÍ,GUALACA,HORNITO,37,1,16,1,0,19,365914.462,963273.8267,183847f7-160e-40fc-8041-86c4fb0a5797,0.999999000001,1.1874999257812546,0.0526315761772854,38125979.54897066
94,CHIRIQUÍ,GUALACA,LOS ANGELES,37,1,16,1,0,19,368734.6879,943204.5177,8d117eb8-aec7-4f89-8a99-ca72c132dff0,0.999999000001,1.1874999257812546,0.0526315761772854,37470607.73697402
95,CHIRIQUÍ,GUALACA,PAJA DE SOMBRERO,37,1,16,1,0,19,355810.7232,956838.1875,79a8b23c-54de-40e4-8eb7-afacdc10dc4d,0.999999000001,1.1874999257812546,0.0526315761772854,37771556.29175842
96,CHIRIQUÍ,GUALACA,RINCON,37,1,16,1,0,19,363090.0478,935726.1066,0d2b3d32-65fd-4fa4-942d-20022c5421cb,0.999999000001,1.1874999257812546,0.0526315761772854,37136974.4530565
97,CHIRIQUÍ,REMEDIOS,EL NANCITO,37,1,16,1,0,19,417597.5331,911476.3166,57102beb-4daf-4217-8c50-c0511d672a35,0.999999000001,1.1874999257812546,0.0526315761772854,37095646.718811646
98,CHIRIQUÍ,REMEDIOS,EL PORVENIR,37,1,16,1,0,19,407770.9137,914946.499600001,2b84b13c-9f89-4fd4-bd9c-341418ab36e7,0.999999000001,1.1874999257812546,0.0526315761772854,37062924.47440094
99,CHIRIQUÍ,REMEDIOS,EL PUERTO,37,1,16,1,0,19,413576.5671,906503.240700001,f2a2350f-d2df-4734-845c-f0e7beb919b1,0.999999000001,1.1874999257812546,0.0526315761772854,36866442.44276204
100,CHIRIQUÍ,REMEDIOS,REMEDIOS (CABECERA),2,0,1,0,0,1,410426.6887,904656.651900001,03a4772c-51e7-45b0-88c9-1c322e917b67,0.0,0.999999000001,0.0,1986810.2321300504
101,CHIRIQUÍ,REMEDIOS,SANTA LUCIA,37,1,16,1,0,19,411874.483,912248.816099999,313c2285-1a5d-496f-802b-a6e18e0091d9,0.999999000001,1.1874999257812546,0.0526315761772854,37033996.48771951
102,CHIRIQUÍ,RENACIMIENTO,BREÑON,37,1,16,1,0,19,300180.7547,953616.297800001,666c260c-daea-4456-b925-ade74544c330,0.999999000001,1.1874999257812546,0.0526315761772854,36990610.59369357
103,CHIRIQUÍ,RENACIMIENTO,CAÑAS GORDAS,2,0,2,0,0,0,294432.9373,964442.6293,c02015c1-35fa-48b4-b237-dbccc8780f39,0.0,0.0,0.0,2016770.0312908287
104,CHIRIQUÍ,RENACIMIENTO,DOMINICAL,37,1,16,1,0,19,306685.6656,963593.259,d0310e1c-7111-49a4-98d3-da0fdef2c822,0.999999000001,1.1874999257812546,0.0526315761772854,37415179.84361616
105,CHIRIQUÍ,RENACIMIENTO,MONTE LIRIO,37,1,16,1,0,19,301534.718,972844.5562,794083aa-2bdc-4948-a80d-9ba993949f82,0.999999000001,1.1874999257812546,0.0526315761772854,37684635.62441507
106,CHIRIQUÍ,RENACIMIENTO,PLAZA CAISAN,1,0,0,0,0,1,304906.7093,968569.4682,f463d4e1-b8b9-44b2-8bea-721afd65f027,0.0,1000000.0,0.0,1015428.4396772552
107,CHIRIQUÍ,RENACIMIENTO,RIO SERENO (CABECERA),1,0,0,1,0,0,299442.8527,976410.9889,78509512-c439-46c1-9311-411e9eae0f79,0.0,0.0,0.0,1021295.4720734789
108,CHIRIQUÍ,RENACIMIENTO,SANTA CLARA,37,1,16,1,0,19,636481.416,1002958.8889,dc337066-56ac-41a8-bff0-b8de53bdba89,0.999999000001,1.1874999257812546,0.0526315761772854,43951189.82614463
